"","trip_start_timestamp","pickup_census_tract","dropoff_census_tract","trip_seconds","trip_miles","fare","pickup_census_tract_centroid","dropoff_census_tract_centroid","year","month","weekday","day","time_decimal","type","dropoff_census_tract.1","pickup_centroid_latitude","pickup_centroid_longitude","pickup_census_tract.1","dropoff_centroid_latitude","dropoff_centroid_longitude"
"30","2013-01-17 07:45:00",17031281900,17031081401,480,1.6,7.45,17031281900,17031081401,2013,1,"Donnerstag",17,7.75,NA,17031281900,41.879255084,-87.642648998,17031081401,41.89503345,-87.619710672
"31","2013-01-11 08:00:00",17031081201,17031320100,480,1.05,6.55,17031081201,17031320100,2013,1,"Freitag",11,8,NA,17031081201,41.899155613,-87.626210532,17031320100,41.884987192,-87.620992913
"32","2013-01-31 08:15:00",17031833100,17031839100,420,1.45,6.65,17031833100,17031839100,2013,1,"Donnerstag",31,8.25,NA,17031833100,41.879066994,-87.657005027,17031839100,41.880994471,-87.632746489
"33","2013-01-22 08:30:00",17031320400,17031839100,300,0.3,5.05,17031320400,17031839100,2013,1,"Dienstag",22,8.5,NA,17031320400,41.877406123,-87.621971652,17031839100,41.880994471,-87.632746489
"34","2013-01-11 08:45:00",17031060900,17031081401,960,42,12.45,17031060900,17031081401,2013,1,"Freitag",11,8.75,NA,17031060900,41.949829346,-87.64396537,17031081401,41.89503345,-87.619710672
"35","2013-01-08 09:00:00",17031081700,17031081700,540,1.6,7.45,17031081700,17031081700,2013,1,"Dienstag",8,9,NA,17031081700,41.892042136,-87.63186395,17031081700,41.892042136,-87.63186395
"36","2013-01-24 09:15:00",17031081800,17031320400,660,1.9,8.45,17031081800,17031320400,2013,1,"Donnerstag",24,9.25,NA,17031081800,41.89321636,-87.63784421,17031320400,41.877406123,-87.621971652
"37","2013-01-08 09:30:00",17031080100,17031081300,300,0.9,5.45,17031080100,17031081300,2013,1,"Dienstag",8,9.5,NA,17031080100,41.907520075,-87.6266589,17031081300,41.898331794,-87.620762865
"38","2013-01-21 09:45:00",17031980000,17031320400,1320,17.1,34.85,17031980000,17031320400,2013,1,"Montag",21,9.75,NA,17031980000,41.97907082,-87.903039661,17031320400,41.877406123,-87.621971652
"39","2013-01-31 10:00:00",17031281900,17031320100,570,1,7.05,17031281900,17031320100,2013,1,"Donnerstag",31,10,NA,17031281900,41.879255084,-87.642648998,17031320100,41.884987192,-87.620992913
"40","2013-01-29 10:15:00",17031081800,17031281900,600,1.5,7.65,17031081800,17031281900,2013,1,"Dienstag",29,10.25,NA,17031081800,41.89321636,-87.63784421,17031281900,41.879255084,-87.642648998
"41","2013-01-21 10:30:00",17031281900,17031980000,1080,17.5,34.45,17031281900,17031980000,2013,1,"Montag",21,10.5,NA,17031281900,41.879255084,-87.642648998,17031980000,41.97907082,-87.903039661
"42","2013-01-22 10:45:00",17031280100,17031842200,540,2.1,8.25,17031280100,17031842200,2013,1,"Dienstag",22,10.75,NA,17031280100,41.885300022,-87.642808466,17031842200,41.904935302,-87.649907226
"43","2013-01-12 11:00:00",17031241400,17031980000,1140,153,31.65,17031241400,17031980000,2013,1,"Samstag",12,11,NA,17031241400,41.906025969,-87.675311622,17031980000,41.97907082,-87.903039661
"44","2013-01-01 11:15:00",17031081100,17031063000,720,4.3,11.85,17031081100,17031063000,2013,1,"Dienstag",1,11.25,NA,17031081100,41.900221297,-87.629105186,17031063000,41.936310131,-87.651562592
"45","2013-01-25 11:30:00",17031841900,17031081700,360,1.3,6.05,17031841900,17031081700,2013,1,"Freitag",25,11.5,NA,17031841900,41.867902418,-87.642958665,17031081700,41.892042136,-87.63186395
"46","2013-01-03 11:45:00",17031081201,17031320400,300,1.6,6.45,17031081201,17031320400,2013,1,"Donnerstag",3,11.75,NA,17031081201,41.899155613,-87.626210532,17031320400,41.877406123,-87.621971652
"47","2013-01-23 12:00:00",17031081700,17031081403,240,0.7,4.84,17031081700,17031081403,2013,1,"Mittwoch",23,12,NA,17031081700,41.892042136,-87.63186395,17031081403,41.890922026,-87.618868355
"48","2013-01-16 12:15:00",17031081800,17031320600,600,1.8,7.85,17031081800,17031320600,2013,1,"Mittwoch",16,12.25,NA,17031081800,41.89321636,-87.63784421,17031320600,41.870607372,-87.622172937
"49","2013-01-04 12:30:00",17031281900,17031280100,240,0.6,4.84,17031281900,17031280100,2013,1,"Freitag",4,12.5,NA,17031281900,41.879255084,-87.642648998,17031280100,41.885300022,-87.642808466
"50","2013-01-23 12:45:00",17031980100,17031839100,1080,10.5,22.85,17031980100,17031839100,2013,1,"Mittwoch",23,12.75,NA,17031980100,41.785998518,-87.750934289,17031839100,41.880994471,-87.632746489
"51","2013-01-17 13:00:00",17031081300,17031081500,180,0.4,4.45,17031081300,17031081500,2013,1,"Donnerstag",17,13,NA,17031081300,41.898331794,-87.620762865,17031081500,41.892507781,-87.626214906
"52","2013-01-12 13:15:00",17031081600,17031842200,540,2,8.05,17031081600,17031842200,2013,1,"Samstag",12,13.25,NA,17031081600,41.892072635,-87.628874157,17031842200,41.904935302,-87.649907226
